Blend Type,Cumulative Heat (J/g)
100% PC,323.16
80% PC + 20% GPP,297.77
70% PC + 30% GPP,311.4
60% PC + 40% GPP,265.35
50% PC + 50% GPP,225.05
40% PC + 60% GPP,216.62
30% PC + 70% GPP,160.64
40% GPP + 60% SC,11.24
10% PC + 40% GPP + 50% SC,115.7
20% PC + 40% GPP + 40% SC,149.98
30% PC + 40% GPP + 30% SC,180.43
40% PC + 40% GPP + 20% SC,210.39
50% PC + 40% GPP + 10% SC,231.67
30% PC + 60% GPP + 10% SC,183.33
30% PC + 50% GPP + 20% SC,202.64
30% PC + 30% GPP + 40% SC,217.65
30% PC + 20% GPP + 50% SC,194.64
30% PC + 10% GPP + 60% SC,222.55
30% PC + 30% GPP + 40% CC,179.39
30% PC + 50% GPP + 20% CC,184.9
30% PC + 40% GPP + 30% CC,188.98
30% PC + 60% GPP + 10% CC,168.53
30% PC + 50% GPP + 20% CC,174.9
30% PC + 40% GPP + 30% CC,176.09
30% PC + 50% GPP + 20% FA,192.39
30% PC + 40% GPP + 30% FA,198.8
50% PC + 40% GPP + 10% VA,214.68
40% PC + 40% GPP + 20% VA,186.85
30% PC + 10% GPP + 60% VA,154.31
30% PC + 20% GPP + 50% VA,154.12
30% PC + 30% GPP + 40% VA,143.78
30% PC + 50% GPP + 20% VA,157.67
50% PC + 40% GPP + 10% GBA,229.1
40% PC + 40% GPP + 20% GBA,196.69
30% PC + 10% GPP + 60% GBA,164.78
30% PC + 20% GPP + 50% GBA,162.18
30% PC + 30% GPP + 40% GBA,153.84
30% PC + 50% GPP + 20% GBA,160.08
50% PC + 40% GPP + 10% FBC,230.78
40% PC + 40% GPP + 20% FBC,198.62
30% PC + 10% GPP + 60% FBC,173.4
30% PC + 20% GPP + 50% FBC,170.58
30% PC + 30% GPP + 40% FBC,160.54
30% PC + 50% GPP + 20% FBC,167.01
80% PC + 20% QUARTZ,295.44
70% PC + 30% QUARTZ,275.55
60% PC + 40% QUARTZ,256.01
50% PC + 50% QUARTZ,224.65
40% PC + 60% QUARTZ,180.19
30% PC + 70% QUARTZ,145.39
100% PLC,303.15
90% PLC + 10% GPP,277.09
80% PLC + 20% GPP,279.7
70% PLC + 30% GPP,251.61
60% PLC + 40% GPP,217.47
50% PLC + 50% GPP,205.29
40% PLC + 40% GPP + 20% SC,213.76
50% PLC + 40% GPP + 10% SC,226.73
30% PLC + 50% GPP + 20% SC,172.69
30% PLC + 30% GPP + 40% SC,208.62
30% PLC + 20% GPP + 50% SC,209.87
30% PLC + 10% GPP + 60% SC,214.36
30% PLC + 20% GPP + 50% FA,200.71
30% PLC + 50% GPP + 20% FA,171.45
30% PLC + 40% GPP + 30% FA,171.81
30% PLC + 30% GPP + 40% FA,183.75
50% PLC + 40% GPP + 10% VA,218.85
40% PLC + 40% GPP + 20% VA,192.98
30% PLC + 10% GPP + 60% VA,159.34
30% PLC + 20% GPP + 50% VA,156.32
30% PLC + 30% GPP + 40% VA,146.46
30% PLC + 50% GPP + 20% VA,155.75
50% PLC + 40% GPP + 10% GBA,223.43
40% PLC + 40% GPP + 20% GBA,189.47
30% PLC + 10% GPP + 60% GBA,159.32
30% PLC + 20% GPP + 50% GBA,153.43
30% PLC + 30% GPP + 40% GBA,147.33
30% PLC + 50% GPP + 20% GBA,156.75
50% PLC + 40% GPP + 10% FBC,219.27
40% PLC + 40% GPP + 20% FBC,188.79
30% PLC + 10% GPP + 60% FBC,162.92
30% PLC + 20% GPP + 50% FBC,154.77
30% PLC + 30% GPP + 40% FBC,150.44
30% PLC + 50% GPP + 20% FBC,157.05
30% PLC + 50% GPP + 20% CC,159.07
30% PLC + 40% GPP + 30% CC,163.78
30% PLC + 30% GPP + 40% CC,164.96
90% PLC + 10% QUARTZ,297.95
80% PLC + 20% QUARTZ,281.86
70% PLC + 30% QUARTZ,264.26
60% PLC + 40% QUARTZ,237.75
50% PLC + 50% QUARTZ,200.71
