Sl. No,Blend Type,Flow (mm),Water-binder ratio,7 days SAI,28 days SAI,56 days SAI,90 days SAI,,,,,,,
1,100% PC,173 ± 5,0.484,-,-,-,-,,,,,,,
2,20% GPP + 80% PC,173,0.47,87,89,89,103,,,,,,,
3,30% GPP + 70% PC,173,0.47,71,88,94,99,,,,,,,
4,40% GPP + 60% PC,177,0.468,62,75,97,98,,,,,,,
5,50% GPP + 50% PC,176,0.484,44,83,93,99,,,,,,,
6,60% GPP + 40% PC,173,0.5,38,69,84,87,,,,,,,
7,70% GPP + 30% PC,173,0.52,23,52,65,68,,,,,,,
8,PC 40% + 40% GPP + 20% SC,170,0.484,45,81,83,92,,,,,,,
9,PC 50% + 40% GPP + 10% SC,173,0.494,49,76,90,92,,,,,,,
10,PC 30% + 50% GPP + 20% SC,168,0.5,36,70,75,88,,,,,,,
11,PC 30% + 30% GPP + 40% SC,169,0.5,46,84,89,100,,,,,,,
12,PC 30% + 10% GPP + 60% SC,168,0.5,79,85,86,102,,,,,,,
13,PC 30 % + 30% GPP + 40% CC,168,0.52,26,47,57,58,,,,,,,
14,PC 30 % + 40% GPP + 30% CC,168,0.52,18,38,52,57,,,,,,,
15,PC 30% + 50% GPP + 20% CC,168,0.52,18,38,44,54,,,,,,,
16,PC 30% + 40% GPP + 30% FA,172,0.464,31,45,45,56,,,,,,,
17,PC 30% + 30% GPP + 40% FA,178,0.44,40,52,51,60,,,,,,,
18,PC 50% + 40% GPP + 10% VA,174,0.52,43,72,77,82,,,,,,,
19,PC 40% + 40% GPP + 20% VA,169,0.53,33,66,67,80,,,,,,,
20,PC 50% + 40% GPP + 10% GBA,178,0.52,44,67,86,88,,,,,,,
21,PC 40% + 40% GPP + 20% GBA,175,0.52,34,63,69,73,,,,,,,
22,PC 50% + 40% GPP + 10% FBC,169,0.54,49,47,75,88,,,,,,,
23,PC 40% + 40% GPP + 20% FBC,169,0.56,39,64,75,87,,,,,,,
24,PC 80% + 20% QUARTZ,170,0.5,68,71,74,75,,,,,,,
25,PC 70% + 30% QUARTZ,178,0.51,66,67,66,67,,,,,,,
26,PC 60% + 40% QUARTZ,173,0.51,58,65,62,62,,,,,,,
27,PC 50% + 50% QUARTZ,172,0.51,43,52,49,54,,,,,,,
28,PC 40% + 60% QUARTZ,176,0.51,31,43,38,42,,,,,,,
29,PC 30% + 70% QUARTZ,173,0.51,17,25,23,25,,,,,,,
,,,,,,,,,,,,,,
Sl. No,Blend Type,Flow (mm),Water-binder ratio,7 days SAI,28 days SAI,56 days SAI,90 days SAI,,,,,,,
30,100% PLC,164±5,0.484,-,-,-,-,,,,,,,
31,PLC 90% + 10% GPP,160,0.484,86,95,96,100,,,,,,,
32,PLC 80% + 20% GPP,165,0.47,83,91,93,102,,,,,,,
33,PLC 70% + 30% GPP,161,0.47,71,85,91,104,,,,,,,
34,PLC 60% + 40% GPP,161,0.484,60,82,93,97,,,,,,,
35,PLC 50% + 50% GPP,162,0.484,44,82,93,100,,,,,,,
36,PLC 30% + 30% GPP + 40% FA,168,0.46,35,53,59,67,,,,,,,
37,PLC 30% + 40% GPP + 30% FA,168,0.46,30,45,57,68,,,,,,,
38,PLC 50% + 40% GPP + 10% SC,169,0.5,54,68,82,87,,,,,,,
39,PLC 40% + 40% GPP + 20% SC,168,0.5,46,72,77,82,,,,,,,
40,PLC 30% + 30% GPP + 40% SC,162,0.5,53,79,77,83,,,,,,,
41,PLC 30% + 20% GPP + 50% SC,165,0.5,52,93,86,98,,,,,,,
42,PLC 30% + 10% GPP + 60% SC,168,0.5,63,91,84,88,,,,,,,
43,PLC 50% + 40% GPP + 10% VA,163,0.5,39,65,76,84,,,,,,,
44,PLC 40% + 40% GPP + 20% VA,165,0.5,34,61,72,86,,,,,,,
45,PLC 50% + 40% GPP + 10% FBC,169,0.54,45,62,85,93,,,,,,,
46,PLC 40% + 40% GPP + 20% FBC,159,0.55,40,59,67,76,,,,,,,
47,PLC 50% + 40% GPP + 10% GBA,169,0.52,38,58,66,78,,,,,,,
48,PLC 40% + 40% GPP + 20% GBA,159,0.5,29,54,76,78,,,,,,,
49,PLC 30% + 50% GPP + 20% CC,168,0.52,13,39,48,56,,,,,,,
50,PLC 30% + 40% GPP + 30% CC,166,0.52,16,44,48,59,,,,,,,
51,PLC 30% + 30% GPP + 40% CC,161,0.52,17,32,44,52,,,,,,,
52,PLC 90% + 10% QUARTZ,159,0.484,85,97,91,92,,,,,,,
53,PLC 80% + 20% QUARTZ,162,0.49,79,87,89,90,,,,,,,
54,PLC 70% + 30% QUARTZ,164,0.49,63,66,78,68,,,,,,,
55,PLC 60% + 40% QUARTZ,162,0.5,50,60,59,63,,,,,,,
56,PLC 50% + 50% QUARTZ,164,0.51,34,42,46,48,,,,,,,
